rating_int,y_unit,psi,bin_count,alpha_prior,baseline_cum
0,0.0049504950495049506,0.0,1596.0,10505.840348707701,0.0
1,0.01485148514851485,0.006038658610493934,2288.0,7329.762794620446,0.0007713844093429951
2,0.024752475247524754,0.011405271163547217,2543.0,6595.057797518161,0.0016321375672420525
3,0.034653465346534656,0.019419078000354587,2104.0,7970.464150539763,0.002518274709951765
4,0.04455445544554455,0.02410445555987249,2383.0,7037.679126210654,0.003377767170984504
5,0.054455445544554455,0.03225124869601841,1785.0,9394.080087842218,0.004241921278569443
6,0.06435643564356436,0.03307100868278989,1773.0,9457.625161717137,0.005061681265340921
7,0.07425742574257425,0.033874461702188205,1500.0,11177.766180470488,0.005865134284739235
8,0.08415841584158416,0.0346505605314406,1231.0,13618.366101368669,0.006641233113991624
9,0.09405940594059406,0.03540144542336662,1326.0,12643.426553795178,0.007392118005917652
10,0.10396039603960396,0.03615163253423641,1112.0,15074.417822898653,0.00814230511678744
11,0.11386138613861387,0.036886908239845514,1168.0,14352.290022999317,0.008877580822396544
12,0.12376237623762376,0.03761970946137282,980.0,17102.779854114375,0.009610382043923853
13,0.13366336633663367,0.038337956963727104,974.0,17208.027730139693,0.010328629546278131
14,0.14356435643564355,0.039053812073888555,1054.0,15903.153589465592,0.011044484656439582
15,0.15346534653465346,0.03977732518454959,1122.0,14940.184360539804,0.011767997767100621
16,0.16336633663366337,0.040511592332665644,1336.0,12548.860910161708,0.01250226491521667
17,0.17326732673267325,0.04126949608109857,1613.0,10395.184037723791,0.013260168663649595
18,0.18316831683168316,0.042057809010688355,1835.0,9138.250020090523,0.014048481593239381
19,0.19306930693069307,0.04287630830059351,2238.0,7493.446644433319,0.014866980883144542
20,0.20297029702970298,0.04373001914716025,2137.0,7847.440148216184,0.015720691729711283
21,0.21287128712871287,0.044598940448011784,3070.0,5463.310660008532,0.01658961303056281
22,0.22277227722772278,0.04554951972356259,3459.0,4849.08295863763,0.017540192306113617
23,0.23267326732673269,0.04655469010527814,3814.0,4397.857676772268,0.01854536268782917
24,0.24257425742574257,0.047610094859336705,4624.0,3627.6382782456653,0.019600767441887736
25,0.2524752475247525,0.048733243012914214,4340.0,3864.968218587008,0.020723915595465242
26,0.2623762376237624,0.04985527706228428,4792.0,3500.485507382892,0.021845949644835303
27,0.2722772277227723,0.05101717845116176,5233.0,3205.5458610787546,0.02300785103371279
28,0.28217821782178215,0.052207946866424756,4364.0,3843.7175342236433,0.02419861944897578
29,0.29207920792079206,0.05333879406644633,4572.0,3668.888483902515,0.025329466648997358
30,0.30198019801980197,0.05447018072745256,4501.0,3726.7496750080413,0.02646085331000359
31,0.3118811881188119,0.05560507974856542,4824.0,3477.269852204394,0.02759575233111645
32,0.3217821782178218,0.05676908034431799,5042.0,3326.9536063625224,0.02875975292686902
33,0.3316831683168317,0.05795053719388929,4694.0,3573.552084533802,0.02994120977644032
34,0.3415841584158416,0.05911408628425253,5082.0,3300.7725825076136,0.031104758866803556
35,0.35148514851485146,0.06029020716104081,4334.0,3870.3176555677514,0.03228087974359184
36,0.3613861386138614,0.06140879335107415,4166.0,4026.3563803422608,0.03339946593362518
37,0.3712871287128713,0.06249694690512521,3968.0,4227.217696368405,0.03448761948767624
38,0.3811881188118812,0.06355290871128749,3230.0,5192.766028129434,0.03554358129383852
39,0.3910891089108911,0.06454888480143846,3462.0,4844.882193729772,0.036539557383989486
40,0.400990099009901,0.06554708910000431,3244.0,5170.362723231495,0.03753776168255534
41,0.41089108910891087,0.06653649197533136,3529.0,4752.925506200057,0.03852716455788239
42,0.4207920792079208,0.08463545291675913,3248.0,5163.997241269991,0.03953118565315237
43,0.4306930693069307,0.10254563465608146,3072.0,5459.754974580605,0.04051405635959998
44,0.4405940594059406,0.12131339242680964,3642.0,4605.497402384353,0.04148756272699871
45,0.4504950495049505,0.14395630739337614,2568.0,6530.87856632394,0.042485872572278954
46,0.4603960396039604,0.16511612070567291,2714.0,6179.678466624751,0.043408610970056376
47,0.47029702970297027,0.18299116491573258,2615.0,6413.542445292891,0.044322700400960216
48,0.4801980198019802,0.2162282496085918,2024.0,8285.346684882075,0.04522083468687219
49,0.4900990099009901,0.22974933287595936,1970.0,8512.342484467885,0.046067761225186236
50,0.5,0.26418026474736983,1981.0,8465.099413161555,0.04690005195243828
51,0.5099009900990099,0.28970986347993377,1897.0,8839.740272332034,0.047730818116038035
52,0.5198019801980198,0.29053489493871837,1952.0,8590.797253909986,0.04855584957482263
53,0.5297029702970297,0.32430989578724756,1779.0,9425.745526340563,0.04938087516990087
54,0.5396039603960396,0.3525614227492691,2454.0,6834.145432540204,0.05020454038510475
55,0.5495049504950495,0.40517871362076285,1446.0,11594.904655761025,0.05106284251374743
56,0.5594059405940595,0.45087174284071907,1645.0,10193.090544888337,0.051853770656371534
57,0.5693069306930693,0.498270669339692,1572.0,10666.132890582454,0.052642019085191415
58,0.5792079207920792,0.5448161178277668,955.0,17550.028281261715,0.05341692171834739
59,0.5891089108910891,0.5713926164274128,1405.0,11933.0206521239,0.05414780550789662
60,0.599009900990099,0.5902213617157832,1042.0,16086.123717052926,0.05489839135079855
61,0.6089108910891089,0.6107268204766537,1077.0,15563.846972992764,0.055627709530751
62,0.6188118811881188,0.6167957987014123,1037.0,16163.609862125435,0.05635281170583424
63,0.6287128712871287,0.6324081453068388,929.0,18040.674233210968,0.05707334605366696
64,0.6386138613861386,0.6566518927916558,1007.0,16644.6696794506,0.057785682940015425
65,0.6485148514851485,0.6573922001324208,756.0,22163.576006454692,0.05849810778195922
66,0.6584158415841584,0.6583362108892011,665.0,25191.93248781712,0.059189698875223816
67,0.6683168316831684,0.6762415208125268,619.0,27061.011349816454,0.05986859504422991
68,0.6782178217821783,0.6836922120361197,470.0,34672.09555049845,0.06053949311776782
69,0.6881188118811881,0.6915547944546524,418.0,34672.09555049845,0.06119643557018092
70,0.698019801980198,0.6981196872802254,239.0,34672.09555049845,0.0618433393573143
71,0.7079207920792079,0.7114025392187245,232.0,34672.09555049845,0.062474510820297306
72,0.7178217821782178,0.7207619601845218,216.0,34672.09555049845,0.06310167737183987
73,0.7277227722772277,0.7313820411601291,150.0,34672.09555049845,0.06372624630146718
74,0.7376237623762376,0.7411249166731031,94.0,34672.09555049845,0.06434413060584984
75,0.7475247524752475,0.7505618107457528,113.0,34672.09555049845,0.06495659098185415
76,0.7574257425742574,0.7606690209026208,54.0,34672.09555049845,0.0655685881250564
77,0.7673267326732673,0.7706605230810979,58.0,34672.09555049845,0.06617614644254796
78,0.7772277227722773,0.7803362125513965,12.0,34672.09555049845,0.06678218606009358
79,0.7871287128712872,0.7902705827086719,12.0,34672.09555049845,0.06738451981522285
80,0.7970297029702971,0.8003439809393338,22.0,34672.09555049845,0.06798622029006579
81,0.806930693069307,0.8103742887907746,29.0,34672.09555049845,0.06858886482163189
82,0.8168316831683168,0.820246643833745,11.0,34672.09555049845,0.06919194326746825
83,0.8267326732673267,0.8300570624819446,11.0,34672.09555049845,0.0697936671971366
84,0.8366336633663366,0.8396125313235906,7.0,34672.09555049845,0.07039500412218554
85,0.8465346534653465,0.849979908703699,0.0,34672.09555049845,0.07099588954184513
86,0.8564356435643564,0.8600354391772824,1.0,34672.09555049845,0.07159614754492474
87,0.8663366336633663,0.870118709079932,8.0,34672.09555049845,0.07219648763989334
88,0.8762376237623762,0.8800879344652198,0.0,34672.09555049845,0.07279727924025126
89,0.8861386138613861,0.8900701686400393,0.0,34672.09555049845,0.07339753724333087
90,0.8960396039603961,0.9000637907345731,0.0,34672.09555049845,0.07399765451745796
91,0.905940594059406,0.9100649081869412,0.0,34672.09555049845,0.07459777179158505
92,0.9158415841584159,0.92008585348585,5.0,34672.09555049845,0.07519797702130748
93,0.9257425742574258,0.9300520794985567,0.0,34672.09555049845,0.07579850475487943
94,0.9356435643564357,0.9400382732727529,0.0,34672.09555049845,0.07639870998460185
95,0.9455445544554455,0.9500318953672865,0.0,34672.09555049845,0.07699882725872895
96,0.9554455445544554,0.9599399887070879,0.0,34672.09555049845,0.07759894453285604
97,0.9653465346534653,0.9696159994033721,5.0,34672.09555049845,0.07819914976257847
98,0.9752475247524752,0.979925455315515,0.0,34672.09555049845,0.07879967749615041
99,0.9851485148514851,0.9900063779054663,0.0,34672.09555049845,0.07939988272587284
100,0.995049504950495,1.0,0.0,34672.09555049845,0.07999999999999993
