,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_val,cond_origin
0,strach,1.4524362301765512,-0.7573089961546337,-2.0908310687682268,1.8945722538408962,-2.0216113750527676,-2.1742467992215304,1.779108285885492,1.5397631586889722,-0.4911110540956591,-1.1136685686154544,0.9829283318158079,-0.2993873819257222,1.8065481237173828,-1.0,-1.0
1,ekskrementy,2.0784584195769535,0.3256248638051078,-1.7307834700016211,1.8654210183238096,-1.5546129485202533,1.1732700572756098,-0.25567959589545763,0.3313524164594123,0.020355357831853008,2.202459269612343,-0.4867082819691416,1.7562599058915074,-0.9293581945839938,-1.0,0.0
2,gorączka,1.4940828924527592,-0.9683929824279055,-1.7287652659726624,1.5788588729577908,-1.4508355204019145,-0.3286787309871766,0.4236770033443093,0.051543022740691925,0.6433870298408338,-1.046739647264298,0.04906555482822281,0.5228715332011696,0.6524264025536147,-1.0,1.0
3,rodzina,-0.7863667687907269,1.3856993682878198,1.9863447105383447,-0.022258987235099,1.297344520509602,-3.271611596550065,2.4912840445088253,0.23903532333260114,0.9513222240521675,-1.693719220325477,2.3041047092591413,0.11174207563772375,1.5736238887439786,0.0,-1.0
4,wyciąg,-0.044304181140299034,0.3046392259901259,0.09730573943105282,0.06794483587435966,0.5785897405788979,0.4943448670092244,-1.0006745139023565,-0.4406242663130702,-0.4100754766716235,0.6711026674153836,-0.9656122701679032,-0.2993873819257222,-0.13370825345971946,0.0,0.0
5,oszczędności,0.9780901232097903,-0.6263966670708788,1.246471113521322,-0.04480994301246367,0.7265686658587485,1.7912305365793106,1.9628955784334492,0.5085555054334711,-0.5559395160348866,0.1579809370565176,0.4824736641481021,2.1673893634549533,0.4393623266212969,0.0,1.0
6,uczucie,-1.4847921082221616,0.5438754970809617,1.3881490363543691,0.8972677401766243,0.3249115829562962,-3.271611596550065,2.3074967519608682,2.254577554695626,-1.41491663672966,-0.1878184899244569,2.7842059574283997,0.11174207563772375,1.7377740605030856,1.0,-1.0
7,zombie,-1.5883042720838758,-1.1975127288065506,0.8056953535962875,0.0002919685422656653,0.9168272840756994,1.8411107546396985,1.1358527619676424,0.7312026123863633,-0.9611174031550624,-0.31052151240157144,-0.8213424437230262,-0.2993873819257222,-0.27689281505958896,1.0,0.0
8,stypendium,1.1167147446829633,-0.47036037851729756,1.5455689506133097,0.15814865898381833,1.2550648275725016,1.3921887920962068,1.6412678164745245,-0.21606397261944338,-0.5883537470045007,1.4073208022781047,0.5189900932482576,1.3451304483280615,0.08473401419827835,1.0,1.0
9,oparzenie,-0.4354875977263048,0.6886763980043656,-1.9491531459351796,1.9396741653956255,-1.3451362880591637,-0.7526605845004738,0.6993579421662449,-0.3000050408691381,0.594765683386413,-0.32167633262676393,-0.5519589503612229,0.9340009907646155,-0.9596408032928132,-1.0,-1.0
10,rutyna,-0.07073883479201519,0.8145902248942787,-1.2092795489181571,-1.6459278032053535,-1.0703182839680123,0.6938657392507752,0.10204924138538547,1.0944689447831877,-1.7066447154561868,1.1061406561979013,-0.6920383669093606,-0.2993873819257222,-0.45907485959182903,-1.0,0.0
11,zmęczenie,1.6750173245978695,-1.2731912806234917,-1.4296674288806746,-0.5409309701144859,-2.2330098397382687,-0.7526605845004738,1.1128793503991483,1.188215095079142,0.1085522188422015,-0.7790239618596724,0.042480624990489865,0.9340009907646155,0.9690498687158398,-1.0,1.0
12,łza,-0.9851457149801883,-0.6554537040454735,-1.1305695917886864,0.6317187303084758,-1.6622339850874155,-2.6481088707952156,1.0899059388306531,-0.8507636738578717,1.3240858802027293,-1.2586812315429599,1.0170502409749698,-1.5327757546160599,0.3820961052485084,0.0,-1.0
13,skinienie,0.09790393394918477,0.18292252666320571,0.20749967941231195,-0.089911854567193,-0.03446580700905577,0.1451833405865086,-0.12768487429956088,0.3562180112025443,-0.18317585988432472,0.5037803640374932,0.6261448606077306,0.9340009907646155,0.15863951006218346,0.0,0.0
14,postęp,1.2576777725579038,1.5598698243995794,1.1992451392436398,0.5866168187537465,1.529882831663653,2.3399129352435772,0.8142250000087186,1.4342987396060234,-1.3500881747904316,0.31414842020921663,0.9727516220665842,-0.2993873819257222,0.5856933391213881,0.0,1.0
15,bajka,-2.1080994513764844,0.6774340920320516,1.3409230620766865,-0.4958290585597565,0.13465296473934538,-1.076882001892996,0.2628631223648474,0.4734006990724877,0.2868304891750794,-2.296079512485885,1.7599500526682983,-0.710516839489168,0.21688905203029885,1.0,-1.0
16,wódka,-1.0711652788489747,-1.67372750581641,0.3964035765230406,2.007327032727719,-0.6475213545970094,-0.503259494198535,0.4007035917758152,-1.14372039353273,1.3078787647179226,0.4591610831367221,1.2858351043515244,-0.710516839489168,0.3042062348602975,1.0,0.0
17,sukces,1.442659422264151,2.1587203269441124,2.065054667667815,2.3004894578334594,2.312057151000008,1.3173684650056243,2.0088424015704387,1.6217910401979323,-1.0745672115487122,-0.3551407933023484,0.9338406730254348,-0.2993873819257222,1.058267568843528,1.0,1.0
18,poezja,1.592866743827424,1.688822950559249,0.7584693793186048,-1.3527653780996134,0.93796713054425,-1.5008638554062934,0.9520654694196864,0.9069766441912781,-0.5235252850652724,0.5260900044878781,2.575882722561938,-0.2993873819257222,0.5738691506073174,-1.0,-1.0
19,szatan,-0.7342674823869757,1.0557803312299585,-1.7287652659726624,2.1877346789466365,0.7054288193901989,-0.45337927613814705,0.3317833570703313,1.7038189217068929,0.1409664498118156,-0.3886052539779259,0.20530798097806874,-0.2993873819257222,0.6265555883760603,-1.0,0.0
20,wróg,0.6735403170549542,-0.7929096317336286,-1.7602492488244506,2.052428944282448,0.34605142942484685,-0.553139712258923,0.6534111190292556,0.7429208811733573,-0.7180106708829571,-0.5001534562298539,0.8560187749431358,-1.121646297052614,1.0825220554643664,-1.0,1.0
21,zasmucenie,-1.1396131503360092,-1.1478667056328173,-1.6343133174172977,0.22580152631591183,-1.7045136780245158,-2.2740072353423058,1.1358527619676424,1.7741285344288584,-0.7504249018525712,-0.12088956857330088,0.2945038487800882,1.3451304483280615,-1.850829114251385,0.0,-1.0
22,płeć,0.5186485206129856,0.4568600488552524,0.2232416708382057,-0.31542141234083915,0.19807250414499536,-0.0792776406852367,0.6993579421662449,-0.042203127555262815,-0.6369750934589222,-0.1320443887984934,1.1026543288654982,-1.121646297052614,0.32567728473390195,0.0,0.0
23,cesarz,1.707001015507,0.562762571114447,0.2704676451158884,0.22580152631591183,2.840553312713761,1.7164102094887281,-0.7020201635119262,-0.28828677208214376,0.4002802975687284,0.39223216178556514,-1.1912957746065695,-0.2993873819257222,1.2327972077966438,0.0,1.0
24,entuzjazm,-0.8637784443434717,1.1813142457111527,1.8446667877052982,1.9622251211729898,1.4996830509942949,-2.847629743036767,2.6061511023512978,1.9264660286597852,-0.280418552793167,0.7938056898925041,2.4154498865153533,0.9340009907646155,0.53960285859613,1.0,-1.0
25,piwo,0.19290685527980156,-1.3842725608670938,1.1362771735400634,0.789575420750028,0.13465296473934538,-1.0270017838326082,0.0561024182483962,-1.0148194368757923,1.3727072266571507,0.04643273480459061,1.2618899049415864,-1.121646297052614,1.2733944781039002,1.0,0.0
26,zmuszanie,-1.5623758097205784,-1.6205831871566645,-0.028630191976100075,-0.5634819258918505,-0.16130488582035662,0.4195245399186419,-0.05876463959407697,0.039824753953697584,-0.021104705036254924,-1.046739647264298,0.6638585496783831,0.9340009907646155,-0.9392576255752104,1.0,1.0
27,świerzb,-1.7454687578982913,1.153927988362598,-1.9806371287869677,1.3759002709615094,-1.7045136780245158,0.17012344961670206,-0.5412062825324637,-0.5192343194258258,-0.9611174031550624,1.7531202292590802,-0.7632753351539265,0.11174207563772375,-0.8915448370562847,-1.0,-1.0
28,pochówek,-1.536532219574507,-0.4212539860302294,-2.3348319358695853,1.218043580519956,-2.1167406841612433,-0.46584933065324374,0.45813712069705154,0.0984160978886693,0.39217673982632506,1.2790403696883879,0.9308475230991923,0.5228715332011696,-0.6427429446575114,-1.0,0.0
29,chirurgia,-0.32639585559185,1.7924459983661307,-0.5008899347529228,1.1503907131878626,0.9802468234813502,2.4646134803945476,0.44665041491280444,-0.194540621786189,0.2868304891750794,0.7603412292169256,-0.13531248062830029,0.9340009907646155,-0.7922525873311633,-1.0,1.0
30,mama,2.343522437049785,1.8490374406364183,2.2382165733526507,-0.157564721899287,1.4876031387265527,-3.196791269459483,3.869688738618501,-0.4406242663130702,1.2430503027786943,-3.0434524675737986,3.3175852742847702,-1.121646297052614,1.7906336201801925,0.0,-1.0
31,smarkacz,-1.0899629032573532,-1.7850961147724886,-1.3666994631770981,0.7444735091952986,-1.598814445681765,-0.7776006935306683,0.3777301802073206,-0.042203127555262815,-0.36145413021720263,-0.1097347483481074,-0.7273575360390193,0.5228715332011696,-0.09096875086651843,0.0,0.0
32,przemyt,-1.2315580523335234,-1.499975728685684,-1.0990856089368983,0.6993715976405693,-0.2247244252260066,1.4670091191867882,0.3538190783707266,0.2741901296935842,-0.7990462483069927,0.7994969247013024,-0.9045520116725612,0.11174207563772375,-0.2910545744996902,0.0,1.0
33,fajerwerk,0.2614432663020969,-0.6503687225749188,1.026083233558805,1.5788588729577908,0.8534077446700493,-1.7752050547384266,-0.4952594593954745,-0.827327136283883,0.8984010306323895,-0.6005468382565884,-0.6902424769536154,0.9340009907646155,-0.690021379274617,1.0,-1.0
34,fascynacja,-0.9538844483010352,1.1261184000443227,1.4353750106320513,1.8177149147629414,0.6420092799845479,-2.5982286527348277,2.0088424015704387,1.9381842974467793,-1.0259458650942908,0.8830442516940461,2.403477286810384,1.3451304483280615,-0.28534347951882394,1.0,0.0
35,geniusz,0.8907141755730786,2.1364605611189336,1.6715048820204625,0.8797792438594867,2.354336843937108,2.4646134803945476,2.0318158131389326,1.1530602887181591,-0.5559395160348866,0.1579809370565176,2.1125431139796365,0.11174207563772375,0.5634362763789206,1.0,1.0
36,samotność,-1.797879329346598,-1.4048658201599054,-2.169541025897697,0.4964129956442878,-1.9793316821156677,-2.224127017281918,2.6520979254882873,1.7741285344288584,-0.6693893244285363,0.10220683593056007,0.3890873864493435,0.9340009907646155,0.893407501871005,-1.0,-1.0
37,fanatyzm,1.4997966113626071,-1.530796942905163,-1.5556033602878272,1.7716925560336283,-0.5418221222542592,-2.947390179157543,0.3777301802073206,2.278014092269615,-1.0907743270335188,2.2662419596179464,-0.06108236245749256,0.5228715332011696,-0.48344046609367797,-1.0,0.0
38,gen,0.6808959092147524,1.4399622317808505,0.03433777372747637,-0.7664405278881326,0.34605142942484685,1.6166497733679521,0.7453047653032342,-0.4406242663130702,-0.6531822089437289,1.5411786449804177,-0.5046671815265953,-1.5327757546160599,0.6290058730341732,-1.0,1.0
39,łatwowierność,-0.016046447926400146,-1.2985911388064535,-1.4139254374547805,0.22580152631591183,-2.38098876501812,-2.373767671463082,0.6993579421662449,1.6569458465589155,-1.6742304844865727,0.6264833865146127,1.8970363192901942,2.5785188210183994,-0.8915448370562847,0.0,-1.0
40,sałatka,0.6367623562559485,0.8586600643057499,0.9158892935775459,-0.6987876605560385,0.007813885928044518,0.17012344961670206,-0.6330999288064423,-0.6867079108399511,1.113393378900238,-1.046739647264298,0.6111791109765192,0.11174207563772375,-0.5642466562976626,0.0,0.0
41,patent,0.012094264503142205,1.4949745823387082,0.6482754393373463,-0.5183800143371212,1.3396242134467022,2.604074498236859,0.6993579421662449,0.6374564620904085,-1.4797450986688883,1.5188690045300326,-0.7363369858177462,-0.2993873819257222,-0.18494114518522184,0.0,1.0
42,lody,0.26530495218598993,-0.22671712348531364,1.403891027780263,-0.7889914836654972,-0.013325960540506096,-0.8274809115910563,-0.5412062825324637,-1.108565587171747,1.0809791479306239,-1.002120366363527,1.6138843362676762,-1.121646297052614,0.5453774114864464,1.0,-1.0
43,lodówka,-0.9970985522398661,-0.21160746425852198,0.7269853964668166,-0.5183800143371212,0.2826318900191959,0.36964432185825397,-0.5182328709639691,-1.038255974449781,1.2754645337483077,-1.515242096722393,0.9410242328484161,0.11174207563772375,-0.1465941469666863,1.0,0.0
44,LOL,0.3782488834139078,-1.3301419597972637,0.9316312850034404,1.195492624742592,-0.6790154115807713,-1.5507440734666813,-0.38039240155300186,1.8588196588439574,-1.40036330853922,0.2806839595336381,0.519588723233506,-1.5327757546160599,-2.9927364240520893,1.0,1.0
45,sierota,-0.8876841188628273,-1.223115206940836,-1.9334111545092854,0.7444735091952986,-2.3598489185495697,-1.5008638554062934,0.1479960645223742,-0.007048321194279786,-0.4424897076412376,-0.07627028767252989,1.3905953517700034,0.11174207563772375,-0.009740716300729884,-1.0,-1.0
46,oko,1.2968674333064834,1.0799778292622524,0.20749967941231195,-0.9919500856617787,0.5997295870474476,0.269883885737478,0.07907582981689083,-0.9913828993018037,1.437535688596379,-1.8052674225774044,-0.30592202642410915,-1.5327757546160599,1.78389573942574,-1.0,0.0
47,wymówka,2.2108590784533746,-1.6355579387117858,-0.8944397204002752,0.0002919685422656653,-0.9011995122196113,0.6190454121601938,0.4696238264812986,1.0944689447831877,-1.5121593296385023,0.16913575728171112,0.17717237167139155,0.11174207563772375,-0.20889489700998992,-1.0,1.0
48,żłobek,0.7811865792397301,0.2521751314526573,0.2704676451158884,-0.8791953067749554,-0.9646190516252612,-0.7526605845004738,-0.3574189899845072,-1.038255974449781,0.46510875950795666,-0.5113082764550464,0.27594631923738605,-0.2993873819257222,-1.0260763706304845,0.0,-1.0
49,sabat,-0.33938601995098894,0.09260933535228762,-0.4221799776234525,0.14029581899340787,-0.09788534641470667,0.5172490487716402,-1.0761585804845577,0.931848071820819,-0.765942352848661,1.4742497236292618,0.1376627926449935,-0.710516839489168,0.5505202129024557,0.0,0.0
50,dyktator,-1.9355000858848104,-0.693954278036808,-1.7287652659726624,1.6239607845125201,1.8681203751604554,1.9907514088208613,0.538544061186783,-0.14766754663821188,-0.15076162891471062,1.4965593640796466,-1.3762724400483415,0.5228715332011696,-0.11291730450638678,0.0,1.0
51,tequila,0.3607154697203373,-0.8944478331615213,0.9788572592811223,0.7219225534179345,0.26149204355064626,-0.9521814567420257,-0.26552534371052866,-1.0499742432367754,0.22200202723585122,2.3889449820950657,1.397778911592985,0.11174207563772375,-1.9120414776910832,1.0,-1.0
52,ferie,0.7581296268926653,-0.02063816014215583,1.577052933465098,0.15814865898381833,0.42111945566010034,-0.8524210206212497,0.17096947609086885,0.3562180112025443,-0.05351893600586903,-0.3551407933023484,-1.3080286217300179,-0.710516839489168,-0.48761482117293903,1.0,0.0
53,śnieg,-0.8921089672714555,-0.22105100127526742,0.8056953535962875,-0.3605233238955685,-0.3304236575687578,0.1950635586468966,0.17096947609086885,-0.9796646305148093,1.344923600111762,-1.816422242802597,0.5088133834990338,-0.710516839489168,1.5322370433229295,1.0,1.0
54,bawełna,1.3318658153571503,1.1824038845977018,0.49085552507840524,-1.5557239800958949,-0.14016503935180696,-0.2039781858362072,-0.47228604782697986,-0.8742002114318603,0.3678660665991143,0.34761288088479414,-0.2011617790056301,0.11174207563772375,-0.7922525873311633,-1.0,-1.0
55,śpiączka,-1.8503472427767902,-0.742882579006934,-2.0908310687682268,0.0453938800969945,-2.571247383235071,-0.17903807680601264,0.7682781768717293,0.0984160978886693,0.1409664498118156,0.30299359998402314,-1.3200012214349868,0.5228715332011696,-0.9196438105640312,-1.0,0.0
56,urzędnik,-0.8673336472207106,0.9081262105839265,-0.8472137461225931,-0.4056252354502978,0.34605142942484685,1.9408711907604734,-0.17363169743655013,-0.6398348356919737,0.2382091427206579,0.30299359998402314,-1.8833120375537802,0.5228715332011696,0.9247760373411232,-1.0,1.0
57,goryl,0.19516412694789145,-0.16641339424982324,-0.07585616625378205,0.09049579165172383,0.3249115829562962,-0.4284391671079525,-1.36824909899827,-1.1905934686807074,0.999943570506589,-0.845952883210829,-0.6782698772486462,-0.710516839489168,-0.16880711828861494,0.0,-1.0
58,kawaler,-0.05319218833339376,-0.06660347651755842,0.44362955080072325,-0.022258987235099,0.007813885928044518,-0.0792776406852367,0.4925972380497937,-0.39375119116509283,-0.3452470147323952,0.4591610831367221,-0.08323167191168512,0.11174207563772375,0.5127926753664007,0.0,0.0
59,słód,0.16900799149393197,-0.2845506467326802,0.25472565368999395,-1.6008258916506242,-0.4201601487005588,0.8735363206315594,-0.6560733403749369,-0.384962489574847,-1.5114546724435116,1.1557440057099468,-0.676473987292901,-1.121646297052614,-1.7013194715777331,0.0,1.0
60,potok,-0.5180062935412121,-0.6986241589791551,0.6325334479114526,-1.2400105992127899,-0.05560565347760638,-0.8524210206212497,-0.3344455784160126,-0.7335809859879285,0.7991737929703109,0.03527791457939811,1.1906529366970207,-0.710516839489168,0.6876587816833795,1.0,-1.0
61,karykatura,-0.9005564051424775,-0.5347862866093018,0.3649195936712524,0.2529547179662071,-0.35156350403730746,0.23730904945314596,-1.3223022758612808,0.20388051697161813,0.7406297227496762,0.6711026674153836,0.5082147535137855,1.3451304483280615,-0.4551227157301326,1.0,0.0
62,strych,-0.5934604324707812,-0.8061397077474212,0.5695654822078762,0.13559770320645317,-0.8166401263454106,-0.15409796777581922,-0.839860632922894,-0.6398348356919737,0.8702866466281326,-0.4778438157794679,-0.4489945928984892,-0.2993873819257222,0.3725745366925251,1.0,1.0
63,troska,2.019613682298548,1.4546521782513433,0.9473732764293341,-0.45072714700502714,0.02895373239659419,-2.1991869082517237,1.8710019321594706,1.5983545026239436,-1.0907743270335188,0.38107734156037265,2.5100334241846087,-0.2993873819257222,0.5505202129024557,-1.0,-1.0
64,tłuszcz,0.6808959092147524,-1.0447372855134547,-1.2407635317699452,-0.089911854567193,-1.0491784374994617,-0.3286787309871766,-0.2195785205735394,-0.8507636738578717,0.6433870298408338,-0.5893920180313958,-0.3005343565568733,0.11174207563772375,0.10253854161446992,-1.0,0.0
65,leki,-0.7240221933072523,0.8916581706631012,-0.9593352768906982,0.06794483587435966,-0.37270335050585807,1.0430272656734911,0.7912515884402235,-0.6163982981179851,0.708215491780062,-0.6674757596077449,-0.13351659067255486,-1.121646297052614,0.3159463646268426,-1.0,1.0
66,odwilż,-0.31762572647824394,-0.20283846560011762,-0.17030811480914673,-0.6311347932239445,-0.5841018151913595,0.31976410379786596,-0.12768487429956088,-0.18282235299919466,-0.19938297536913213,0.6041737460642276,-0.37656036468342646,-0.2993873819257222,-0.2910545744996902,0.0,-1.0
